target	source	value
UCLG	Barisal	1
UCLG	Kaohsiung	1
UCLG	Banqiao	1
UCLG	Taichung	1
UCLG	Ahmedabad	1
UCLG	Bangalore	1
UCLG	Bhopal	1
UCLG	Hyderabad	1
UCLG	Kolkata	1
UCLG	New Delhi	1
UCLG	Palanpur	1
UCLG	Banda Aceh	1
UCLG	Bengkulu	1
UCLG	Bogor	1
UCLG	Cimahi	1
UCLG	Jambi	1
UCLG	Lubuklinggau	1
UCLG	Pangkalpinang	1
UCLG	Probolinggo	1
UCLG	Salatiga	1
UCLG	Singkawang	1
UCLG	South Tangerang	1
UCLG	Surabaya	1
UCLG	Surakarta	1
UCLG	Hamamatsu	1
UCLG	Shizuoka	1
UCLG	Andong	1
UCLG	Busan	1
UCLG	Changwon	1
UCLG	Daegu	1
UCLG	Daejeon	1
UCLG	Dangjin	1
UCLG	Gumi	1
UCLG	Gunsan	1
UCLG	Gwangju	1
UCLG	Hwaseong	1
UCLG	Incheon	1
UCLG	Ulsan	1
UCLG	Yongin	1
UCLG	Kuala Lumpur	1
UCLG	Petaling Jaya	1
UCLG	Addu	1
UCLG	Kathmandu	1
UCLG	Dharan	1
UCLG	Kirtipur	1
UCLG	Byas	1
UCLG	Changchun	1
UCLG	Changsha	1
UCLG	Dalian	1
UCLG	Fuzhou	1
UCLG	Jilin	1
UCLG	Jinan	1
UCLG	Nanning	1
UCLG	Xiamen	1
UCLG	Wuxi	1
UCLG	Zhengzhou	1
UCLG	Faisalabad	1
UCLG	Islamabad	1
UCLG	Toba tek singh	1
UCLG	Baguio City	1
UCLG	Catbalogan	1
UCLG	Iriga	1
UCLG	Surigao	1
UCLG	Vigan	1
UCLG	Anuradhapura	1
UCLG	Colombo	1
UCLG	Galle	1
UCLG	Hanoi	1
UCLG	Narayanganj	1
UCLG	Gandhinagar	1
UCLG	Vadodara	1
UCLG	Taipei	1
UCLG	Amalner	1
UCLG	Mahabelshwar	1
UCLG	Panchgani	1
UCLG	Batam	1
UCLG	Jakarta	1
UCLG	Wakatobi	1
UCLG	Yogyakarta	1
UCLG	Betio	1
UCLG	Seoul	1
UCLG	Beijing	1
UCLG	Chengdu	1
UCLG	Chongqing	1
UCLG	Guangzhou	1
UCLG	Haikou	1
UCLG	Hangzhou	1
UCLG	Harbin	1
UCLG	Kunming	1
UCLG	Shanghai	1
UCLG	Shenyang	1
UCLG	Shenzhen	1
UCLG	Tianjin	1
UCLG	Wuhan	1
UCLG	Xian	1
UCLG	Gujranwala	1
UCLG	Lahore	1
UCLG	Makati City	1
UCLG	Bangkok	1
UCLG	Himatnagar	1
UCLG	Jeju	1
CityNet	Barisal	1
CityNet	Dhaka	1
CityNet	Khulna	1
CityNet	Narayanganj	1
CityNet	Rajshahi	1
CityNet	Sylhet	1
CityNet	Thimphu	1
CityNet	Phnom Penh	1
CityNet	Kaohsiung	1
CityNet	Taichung	1
CityNet	Taipei	1
CityNet	Suva	1
CityNet	Mumbai	1
CityNet	Balikpapan	1
CityNet	Banda Aceh	1
CityNet	Bandung	1
CityNet	Banjar	1
CityNet	Banjarbaru	1
CityNet	Bogor	1
CityNet	Jakarta	1
CityNet	Makassar	1
CityNet	Palembang	1
CityNet	PangkalPinang	1
CityNet	Semarang	1
CityNet	Sidoarjo	1
CityNet	Sukabumi	1
CityNet	Surabaya	1
CityNet	Tarakan	1
CityNet	Tasikmalaya	1
CityNet	Tomohon	1
CityNet	Tehran	1
CityNet	Yokohama	1
CityNet	Kuala Lumpur	1
CityNet	Penang	1
CityNet	Seberang Perai	1
CityNet	Subang Jaya	1
CityNet	Putrajaya	1
CityNet	Ulaanbaatar	1
CityNet	Erdenet	1
CityNet	Bharatpur	1
CityNet	Biratnagar	1
CityNet	Birganj	1
CityNet	Butwal	1
CityNet	Dharan	1
CityNet	Hetauda	1
CityNet	Kathmandu	1
CityNet	Lalitpur	1
CityNet	Pokhara	1
CityNet	Siddharthanagar	1
CityNet	Tansen	1
