name	faculty
UCLG	1
CityNet	2
R20	3
ICLEI	4
100RC	5
C40	6
GCoM	7
ASCN	8
IAEC	9
SCN	10
metropolis	11
SEANNET	12
ANMC21	13
PNLG	14
KIN	15
U20	16
OGP	17
DELGOSEA	18
Barisal	1
Kaohsiung	1
Banqiao	1
Taichung	1
Ahmedabad	1
Bangalore	1
Bhopal	1
Hyderabad	1
Kolkata	1
New Delhi	1
Palanpur	1
Banda Aceh	1
Bengkulu	1
Bogor	1
Cimahi	1
Jambi	1
Lubuklinggau	1
Pangkalpinang	1
Probolinggo	1
Salatiga	1
Singkawang	1
South Tangerang	1
Surabaya	1
Surakarta	1
Hamamatsu	1
Shizuoka	1
Andong	1
Busan	1
Changwon	1
Daegu	1
Daejeon	1
Dangjin	1
Gumi	1
Gunsan	1
Gwangju	1
Hwaseong	1
Incheon	1
Ulsan	1
Yongin	1
Kuala Lumpur	1
Petaling Jaya	1
Addu	1
Kathmandu	1
Dharan	1
Kirtipur	1
Byas	1
Changchun	1
Changsha	1
Dalian	1
Fuzhou	1
Jilin	1
Jinan	1
Nanning	1
Xiamen	1
Wuxi	1
Zhengzhou	1
Faisalabad	1
Islamabad	1
Toba tek singh	1
Baguio City	1
Catbalogan	1
Iriga	1
Surigao	1
Vigan	1
Anuradhapura	1
Colombo	1
Galle	1
Hanoi	1
Narayanganj	1
Gandhinagar	1
Vadodara	1
Taipei	1
Amalner	1
Mahabelshwar	1
Panchgani	1
Batam	1
Jakarta	1
Wakatobi	1
Yogyakarta	1
Betio	1
Seoul	1
Beijing	1
Chengdu	1
Chongqing	1
Guangzhou	1
Haikou	1
Hangzhou	1
Harbin	1
Kunming	1
Shanghai	1
Shenyang	1
Shenzhen	1
Tianjin	1
Wuhan	1
Xian	1
Gujranwala	1
Lahore	1
Makati City	1
Bangkok	1
Himatnagar	1
Jeju	1
Barisal	2
Dhaka	2
Khulna	2
Narayanganj	2
Rajshahi	2
Sylhet	2
Thimphu	2
Phnom Penh	2
Kaohsiung	2
Taichung	2
Taipei	2
Suva	2
Mumbai	2
Balikpapan	2
Banda Aceh	2
Bandung	2
Banjar	2
Banjarbaru	2
Bogor	2
Jakarta	2
Makassar	2
Palembang	2
PangkalPinang	2
Semarang	2
Sidoarjo	2
Sukabumi	2
Surabaya	2
Tarakan	2
Tasikmalaya	2
Tomohon	2
Tehran	2
Yokohama	2
Kuala Lumpur	2
Penang	2
Seberang Perai	2
Subang Jaya	2
Putrajaya	2
Ulaanbaatar	2
Erdenet	2
Bharatpur	2
Biratnagar	2
Birganj	2
Butwal	2
Dharan	2
Hetauda	2
Kathmandu	2
Lalitpur	2
Pokhara	2
Siddharthanagar	2
Tansen	2
Nepalgunj	2
Godawari	2
Mahalaxmi	2
Nanchang	2
Nanjing	2
Shanghai	2
Wuhan	2
Islamabad	2
Baguio City	2
Balanga	2
Iloilo	2
Iriga	2
Legazpi	2
Mandaue City	2
Makati City	2
Marikina City	2
Muntinlupa City	2
Naga	2
Quezon City	2
San Fernando	2
Tarlac	2
Puerto Princesa	2
San Juan	2
Tuguegarao	2
Santa Rosa	2
Calapan	2
Busan	2
Changwon	2
Incheon	2
Seongdong-gu	2
Seodaemun-gu	2
Seoul	2
Suwon	2
Songpa-gu	2
Colombo	2
Dehiwala	2
Galle	2
Kandy	2
Negombo City	2
Sri Jawewardenepura Kotte	2
Bangkok	2
Da Nang	2
HaiPhong	2
Hanoi	2
Ho Chi Minh City	2
Hue	2
Tam Ky	2
Geneva	3
Gujarat	3
Cebu	3
Gyeonggi-do	3
Shenzhen	3
Bonn	4
Gwacheon	4
Michuhol-gu	4
Ansan	4
Seongnam	4
Nowon-gu	4
Changwon	4
Eunpyeong-gu	4
Sumida	4
Ulsan	4
Suwon	4
Taipei	4
Tainan	4
Gimpo	4
Pohang	4
Namyangju	4
Hsinchu	4
Gwangju	4
Gapyeong	4
Anyang	4
Kawasaki	4
Buyeo	4
Seoul	4
Toyama	4
Saitama	4
Jeonju	4
Gangdong-gu	4
Inje	4
Gumi	4
Gyeongsangnam-do	4
Sejong	4
Guiyang	4
Yuseong-gu	4
Pingtung	4
Kaohsiung	4
Seodaemun-gu	4
Jeongseon	4
Siheung	4
Matsuyama	4
Taean	4
Taichung	4
Bucheon	4
Iida	4
Cheongju	4
Shimokawa	4
Gyeonggi-do	4
Chungcheongnam-do	4
Jongno-gu	4
Hadong	4
Osan	4
Kyoto	4
Uiwang	4
Sapporo	4
Musashino	4
Toyota	4
Hiroshima	4
Chiayi	4
Guangming new District	4
Daegu	4
Itabashi	4
Yeosu	4
Taoyuan	4
Yeongju	4
Seocheon	4
Dobong-gu	4
Wonju	4
Tokyo	4
Okayama	4
Jeju	4
Yuhua	4
Incheon	4
Asan	4
Gangwon	4
Pyeongchang	4
Nagano	4
Aichi	4
Dangjin	4
Nagoya	4
Ulaanbaatar	4
Daejeon	4
Damyang	4
Yokohama	4
Foshan	4
Busan	4
Songpa-gu	4
Cheongyang	4
Seogwipo	4
Kitakyushu	4
Suncheon	4
Seongbuk-gu	4
Gangneung	4
Kalyan	4
Greater Hyderabad	4
Tenali	4
Tirupati	4
Vijayawada	4
Gwalior	4
Kishangarh	4
Singra	4
Nainital	4
Kurunegala	4
Guntur	4
Surat	4
Vishakhapatnam	4
Bhavnagar	4
Kota	4
Madurai	4
Vadodara	4
Addu	4
Cochin	4
Pune	4
Pokhara	4
Hetauda	4
Rajshahi	4
Panaji	4
Thimphu	4
Galle	4
